Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,46347,726,6,29606,977.02,47.774%,51.30178,152.88,6.96,3051.5
TOTAL,46347,726,6,29606,977.02,47.774%,51.30178,152.88,6.96,3051.5
