Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,54132,716,7,34268,982.59,50.508%,60.42658,178.79,7.91,3029.9
TOTAL,54132,716,7,34268,982.59,50.508%,60.42658,178.79,7.91,3029.9
